model,scope,symptom,prevalence,threshold,precision,recall,f1,average_precision
xgb,development_oof,vomiting,0.2090863453815261,0.15000000000000002,0.23988318731748018,0.6902761104441777,0.3560371517027864,0.3372067574633353
xgb,development_oof,cough,0.060240963855421686,0.05,0.07813319349764027,0.6208333333333333,0.13879832324173266,0.07539186600896206
xgb,development_oof,asthma,0.06701807228915663,0.17000000000000004,0.2540983606557377,0.34831460674157305,0.2938388625592417,0.27697023462662357
xgb,development_oof,severe_headache,0.09362449799196787,0.07,0.11604234527687296,0.7640750670241286,0.2014846235418876,0.10976114794221396
xgb,development_oof,weakness,0.03589357429718876,0.060000000000000005,0.03873239436619718,0.15384615384615385,0.06188466947960619,0.0380393721668313
xgb,development_oof,trouble_seeing,0.04066265060240964,0.060000000000000005,0.05397727272727273,0.2345679012345679,0.08775981524249422,0.05176088526471915
xgb,development_oof,fever,0.03137550200803213,0.05,0.04281345565749235,0.224,0.07188703465982028,0.03785659853644374
xgb,development_oof,body_aches,0.0338855421686747,0.060000000000000005,0.04417670682730924,0.16296296296296298,0.06951026856240126,0.041039290417465124
xgb,development_oof,sore_throat,0.06475903614457831,0.060000000000000005,0.08856971873129862,0.5736434108527132,0.1534473820632452,0.0901925969810887
xgb,development_oof,sneezing,0.036646586345381524,0.05,0.044524669073405534,0.2534246575342466,0.07574206755373593,0.04514454804211818
xgb,development_oof,diarrhea,0.039909638554216864,0.07,0.06365159128978225,0.2389937106918239,0.10052910052910052,0.0546532199137382
xgb,development_oof,rapid_breathing,0.0077811244979919675,0.1,0.09523809523809523,0.06451612903225806,0.07692307692307693,0.021474331387512355
xgb,development_oof,rapid_heart_rate,0.0356425702811245,0.060000000000000005,0.05103969754253308,0.19014084507042253,0.08047690014903129,0.043241094802008176
xgb,development_oof,pain_behind_eyes,0.10793172690763052,0.08000000000000002,0.14799767846778875,0.5930232558139535,0.2368787738039944,0.24048325677502844
xgb,development_oof,swollen_glands,0.03288152610441767,0.060000000000000005,0.034,0.1297709923664122,0.05388272583201268,0.03422563023419072
xgb,development_oof,rashes,0.06475903614457831,0.060000000000000005,0.08,0.5503875968992248,0.1396950319724545,0.07974311556480768
xgb,development_oof,sinus_headache,0.0303714859437751,0.060000000000000005,0.03818615751789976,0.1322314049586777,0.05925925925925926,0.03325067634003687
xgb,development_oof,facial_pain,0.035140562248995984,0.08000000000000002,0.046242774566473986,0.11428571428571428,0.06584362139917696,0.036133883191932434
xgb,development_oof,shortness_of_breath,0.03263052208835342,0.05,0.034916201117318434,0.19230769230769232,0.0591016548463357,0.0374761845901215
xgb,development_oof,reduced_smell_and_taste,0.03413654618473896,0.060000000000000005,0.04275092936802974,0.16911764705882354,0.06824925816023739,0.03918513865345703
xgb,development_oof,skin_irritation,0.0321285140562249,0.08000000000000002,0.04263565891472868,0.0859375,0.05699481865284974,0.03366407391515546
xgb,development_oof,itchiness,0.028363453815261043,0.05,0.04051172707889126,0.168141592920354,0.06529209621993128,0.04058559906688331
xgb,development_oof,throbbing_headache,0.038654618473895584,0.05,0.04925053533190578,0.2987012987012987,0.08455882352941177,0.06512299168831623
xgb,development_oof,confusion,0.06626506024096386,0.060000000000000005,0.0873015873015873,0.625,0.1532033426183844,0.08894528765566063
xgb,development_oof,back_pain,0.035140562248995984,0.060000000000000005,0.04380952380952381,0.16428571428571428,0.06917293233082707,0.039529310777621174
xgb,development_oof,knee_ache,0.03890562248995984,0.05,0.04559585492227979,0.2838709677419355,0.07857142857142857,0.04692366429142116
xgb,locked_test,nausea,0.15646940822467403,0.12000000000000001,0.18507462686567164,0.7948717948717948,0.30024213075060535,0.20063037705478784
xgb,locked_test,joint_pain,0.0641925777331996,0.05,0.07980456026058631,0.765625,0.14454277286135694,0.07963916478351063
xgb,locked_test,abdominal_pain,0.041123370110330994,0.060000000000000005,0.07894736842105263,0.2926829268292683,0.12435233160621761,0.057720095192201566
xgb,locked_test,high_fever,0.09829488465396188,0.13,0.13541666666666666,0.3979591836734694,0.20207253886010362,0.1451432734382329
xgb,locked_test,chills,0.06720160481444333,0.08000000000000002,0.10080645161290322,0.373134328358209,0.15873015873015872,0.09569411368662308
xgb,locked_test,fatigue,0.1123370110330993,0.11000000000000001,0.14652014652014653,0.7142857142857143,0.24316109422492402,0.16326990127303276
xgb,locked_test,runny_nose,0.09628886659979939,0.1,0.16105769230769232,0.6979166666666666,0.26171875,0.16483096114434237
xgb,locked_test,dizziness,0.12637913741223672,0.1,0.15036496350364964,0.8174603174603174,0.25400739827373614,0.16708388952361616
xgb,locked_test,headache,0.22768304914744233,0.13,0.23804226918798665,0.9427312775330396,0.38010657193605685,0.26557825063868173
xgb,locked_test,chest_pain,0.16850551654964896,0.26000000000000006,0.32727272727272727,0.32142857142857145,0.32432432432432434,0.3268739318238944
xgb,locked_test,vomiting,0.20160481444332998,0.15000000000000002,0.19803600654664485,0.6019900497512438,0.29802955665024633,0.2214899784794102
xgb,locked_test,cough,0.06118355065195587,0.05,0.07421150278293136,0.6557377049180327,0.13333333333333333,0.11944062157354056
xgb,locked_test,asthma,0.04914744232698094,0.17000000000000004,0.09523809523809523,0.12244897959183673,0.10714285714285714,0.11864888104049241
xgb,locked_test,severe_headache,0.09729187562688064,0.07,0.12425149700598802,0.8556701030927835,0.2169934640522876,0.14381302468413645
xgb,locked_test,weakness,0.04012036108324975,0.060000000000000005,0.02631578947368421,0.1,0.041666666666666664,0.0483984586842206
xgb,locked_test,trouble_seeing,0.028084252758274825,0.060000000000000005,0.041666666666666664,0.2857142857142857,0.07272727272727272,0.03255204692861162
xgb,locked_test,fever,0.033099297893681046,0.05,0.07006369426751592,0.3333333333333333,0.11578947368421053,0.07934431760729421
xgb,locked_test,body_aches,0.03510531594784353,0.060000000000000005,0.04895104895104895,0.2,0.07865168539325842,0.042150166728957696
xgb,locked_test,sore_throat,0.06318956870611836,0.060000000000000005,0.09913793103448276,0.7301587301587301,0.174573055028463,0.1259813611186556
xgb,locked_test,sneezing,0.0320962888665998,0.05,0.03255813953488372,0.21875,0.05668016194331984,0.035718873069364415
xgb,locked_test,diarrhea,0.04212637913741224,0.07,0.041379310344827586,0.14285714285714285,0.06417112299465241,0.04319956162944223
